resultId,raceId,driverId,statusId,status,year
9991,426,94,3,Accident,1985
10101,430,94,3,Accident,1985
10140,432,172,3,Accident,1985
10150,432,112,3,Accident,1985
10152,432,160,3,Accident,1985
9990,426,77,3,Accident,1985
10023,427,160,3,Accident,1985
9997,426,95,82,Injury,1985
10022,427,112,3,Accident,1985
10020,427,140,3,Accident,1985
10061,429,172,3,Accident,1985
10073,429,110,3,Accident,1985
10050,428,110,4,Collision,1985
9558,409,175,3,Accident,1986
9552,409,174,3,Accident,1986
9551,409,140,3,Accident,1986
9533,408,175,3,Accident,1986
9601,411,179,3,Accident,1986
9606,411,102,3,Accident,1986
9607,411,160,3,Accident,1986
9608,411,145,3,Accident,1986
9610,411,178,3,Accident,1986
9570,410,163,3,Accident,1986
9571,410,123,3,Accident,1986
9573,410,137,3,Accident,1986
9455,405,156,4,Collision,1986
9456,405,178,4,Collision,1986
9496,407,84,3,Accident,1986
9497,407,175,3,Accident,1986
9503,407,178,3,Accident,1986
9483,406,145,3,Accident,1986
9738,416,175,3,Accident,1986
9739,416,119,3,Accident,1986
9817,419,145,3,Accident,1986
9819,419,105,3,Accident,1986
9793,418,175,3,Accident,1986
9662,413,170,3,Accident,1986
9633,412,172,4,Collision,1986
9634,412,157,4,Collision,1986
