accidentId,Accidents,year,injuriesId,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
4,Accident,1995,73.0,Injured
